Date,Europe,Asia,North America,Oceania,Latin America
2020-10-11,-42.778883197155075,-23.609737110977765,2.2878948473150578,-5.3997886988726735,-6.722001329537044
2020-10-18,-33.28229810311672,8.767774685088295,23.837454393985777,24.860881055628965,41.302672267294824
2020-10-25,-61.37740519962508,-26.490778017899668,-19.591502889727387,-8.529561671763506,-17.022819401733297
2020-11-01,-62.95851867347384,-25.821873211062897,-11.549939514615557,9.753619032181643,-19.500054579194412
2020-11-08,-67.42866793662115,-41.90302466181268,-10.551416645749287,6.1281811217976,-20.616724377926307
2020-11-15,-65.20048190257825,-46.04551336822042,-19.8177514347742,-6.5206570433051265,-26.30254475244144
2020-11-22,-59.45772871695765,-50.66372830238842,-21.941769272554435,-1.9603642902118104,-30.04171905969609
2020-11-29,-52.461874862459204,-53.18013852238389,-12.649273576433592,-8.599948242079188,-26.632490245162543
2020-12-06,-47.203216271022285,-50.645258613845215,-4.47042185048505,-9.460608613413655,-28.232330557767394
2020-12-13,-43.429542375605614,-44.46537686548826,-5.272018654927169,-10.413570968434614,-27.093182670494713
2020-12-20,-51.46978648872004,-49.63939836328494,-13.480245805709762,-16.539085147152754,-30.7140679090958
2020-12-27,-73.15368479853704,-68.90771497816618,-38.94708993302153,-47.97998254812318,-52.594631586951564
2021-01-03,-64.22872070365332,-53.599027672265024,-0.9876492036264092,-16.642241717435844,6.306461451204072
2021-01-10,-65.31584432325626,-56.30983585107883,5.744658921322265,-8.3623780411859,3.2748744551907287
2021-01-17,-65.00278454422215,-56.536777069484266,0.7260325113335704,-12.437615587200401,-5.8743281680141335
2021-01-24,-61.288839654840245,-48.76387108175622,7.495380408527606,-9.353813325251,-6.077023574180307
2021-01-31,-54.604848083396405,-46.301908301459534,5.402222456737538,-13.408064691854202,-7.376388535647887
2021-02-07,-54.93850233955827,-57.07578641543621,2.7167789658381913,-22.043895035117185,-11.659578584433397
2021-02-14,-52.631723386034956,-54.23167492584462,0.6387896212974019,-24.29742114984452,-16.171748062945994
2021-02-21,-41.0003183788611,-49.41683839767908,10.04029309570997,-13.84558213989652,-6.865604984918354
2021-02-28,-47.61122183428058,-41.537668027228214,19.473782288073576,-5.266616485656595,-2.367477138510938
2021-03-07,-44.85322333077513,-28.236157334505062,26.696536861015446,6.663807492581602,-0.5427426869163645
2021-03-14,-52.350201972281205,-46.21672209892167,31.23369471907807,-14.689534979569247,-3.9960844874318404
2021-03-21,-50.472099611757926,-49.024960745733864,29.70302899416052,-16.85864065388732,-0.10922912825625593
2021-03-28,-63.365935542259734,-52.91342459561553,15.924892169622092,-31.23820254737857,-23.11945249693673
2021-04-04,-53.87914459210855,-53.11705033734221,23.018108906578124,-13.720988115238628,-19.82616683743773
2021-04-11,-43.01476297705478,-52.35880413105723,34.4801320588262,3.305828837406114,-0.34900686407799186
2021-04-18,-39.153630908719926,-50.318659883316364,24.397493976333486,-8.96120256479214,-3.9214894716444904
2021-04-25,-28.336008820822624,-48.81966052015564,17.564646493932397,-18.756819330973734,-1.3077607833616574
2021-05-02,-18.038039822686127,-49.16627603294717,15.919418907698448,-13.88775951840728,-4.255361295664611
2021-05-09,-13.31319828577309,-55.85035965108002,15.703064124612936,-19.486900270939472,-0.6305655458357545
2021-05-16,-13.16564844800204,-56.97253206020253,15.049664912088828,-23.36766395154553,1.4062143828455993
2021-05-23,-24.30366717899144,-56.51607545422643,4.541057108200618,-30.69438493874535,-15.53474529044952
2021-05-30,-8.264148504876749,-48.92129141256832,13.2413954915822,-26.78704721577569,1.0966114307494055
2021-06-06,-15.661148992095065,-54.961105895256566,2.3709819612098193,-43.532265733056704,-17.429110416789484
2021-06-13,3.3656503666300743,-48.04570254937403,21.948909092781168,-28.75957931706813,6.280150863959302
2021-06-20,-9.526124233745632,-49.42239628832695,10.827620462710405,-30.538620763418333,-7.87101304629109
