Date,Asia,India,Japan,Thailand,Vietnam
2020-08-16,-56.20867908867848,-81.22954974883635,-65.46249797505264,-70.31945788964182,-89.40987257206483
2020-08-23,-57.27148119592221,-76.83809151349237,-68.52154195011337,-66.2254890558489,-83.8924247499641
2020-08-30,-59.3535139126021,-71.04437897937851,-64.82464048713439,-75.90964294389119,-83.43462755537696
2020-09-06,-54.92221690256714,-69.23259118900995,-61.64999760731206,-71.62515723270441,-79.21058069849143
2020-09-13,-52.732746952322664,-63.97579143389199,-47.97435983714122,-75.15015779293495,-76.58036150464093
2020-09-20,-27.769396437399873,-29.35043406185927,-51.15641103364656,-46.35583891386111,-38.28704376908536
2020-09-27,-65.79355107581787,-64.86508127151893,-64.37777673118887,-75.92559228898298,-78.32654907281773
2020-10-04,-32.814700528442124,-28.48489982633741,-44.91703892788768,-40.74880182913424,-43.54973143174662
2020-10-11,-23.607714539795467,-16.109594200169475,-43.131913488525676,-28.8033659200594,-25.6483107759066
2020-10-18,8.765919023533915,41.890630373900656,-16.426267319616922,-1.8531976744186047,19.144042797860106
2020-10-25,-26.490621133269208,-1.9295344058537562,-45.539207490386225,-41.96714653188321,-23.18244170096022
2020-11-01,-25.826608279733108,-6.8169062729352845,-36.81069750143693,-42.87790085498884,-34.67678130962908
2020-11-08,-41.90514198275349,-36.38812932282451,-48.25889989519592,-49.69954436398054,-55.68377228708481
2020-11-15,-46.04698264827355,-29.383539362394274,-55.44094987763981,-60.09107893507707,-51.54387865655471
2020-11-22,-50.67388018800551,-35.26772486772487,-59.789509711645415,-66.12615172301822,-65.59067661608115
2020-11-29,-73.86681664847154,-59.640707515623916,-75.96669646848457,-86.04174088223373,-86.29971606787544
2020-12-06,-30.566137667426023,21.131475912160244,-52.799777333569494,-68.07539996831935,-59.907979326862474
2020-12-13,-44.46887697932774,1.4939797849635565,-51.235890014471785,-71.14358670375267,-63.5354323878914
2020-12-20,-49.64028222428917,-4.192278777694247,-52.828618968386024,-84.54772935609344,-67.76422943170313
2020-12-27,-68.9145841707831,-42.00948157210583,-77.83748114630468,-89.9230124247275,-75.1759981100874
2021-01-03,-53.60163415863355,4.372399834337347,-71.95516490039242,-84.00897052757689,-59.89472626467378
2021-01-10,-56.315476961988665,5.946289144832502,-72.90218741668917,-90.42639591304535,-65.49316207723079
2021-01-17,-56.5428074947589,2.610097434743347,-74.19794057482643,-91.13320601249521,-71.28497055741252
2021-01-24,-48.76775104489939,-3.333883317834422,-67.69391057549868,-80.36744674895408,-72.01814581244088
2021-01-31,-46.30232126468192,5.363904080774085,-64.13224376834901,-82.74581093898198,-83.52046137799864
2021-02-07,-57.06826485138578,7.401182020278696,-68.43317603775094,-85.4930187003166,-89.47495648810676
2021-02-14,-54.22709405968001,-6.637643466953129,-66.69374746117552,-84.06409536139134,-88.27256088976489
